,Question Asked,Agency
4751,Hi Jamie my son is 14 now and will be 15 in Dec 2019 He has a dual citizenship Singapore and USA We intend to send him to US to complete his high school,MINDEF
4752,When the branch is fully functional it will have a bank account that will pull funds Electronic Funds Transfer from the Singapore franchisees and pay the necessary expe,IRAS GST
4753,does depandant pass holder need to apply for student pass,ICA
4754,how do I calculate my mortage loan interest,IRAS IIT
4755,My daughter who will be sec 1 next year needs to take Chinese language basic,MOE
4756,How to check on my skillsFuture credit account,SSG
4757,How do I cancel ippt session after 12pm,MINDEF
4758,Why there is error message saying unauthorised user for service provider,ACRA
4759,All my e xisting staffs in the approved company profile has left the company,SSG
4760,Hi if I am an employee of an company but I would like to do some freelance work Do I have to set up a sole proprietorship and what kind of tax I need to apply,ACRA
4761,our customer need to import candies to singapore they need to apply license from ava,AVA
4762,how can i take print for visa,ICA
4763,view profile update particular,LTA
4764,My escooter is a UL2272 certified do I still need to register and I bought items before 1July 2019,LTA
4765,where do I pay the fines onlines,SPF
4766,earned income relief,IRAS IIT
4767,What are the documents neesed to register my child for Primary One,MOE
4768,With many trying attempt unable to login with message of Data not found why,MOE
4769,Tvdl licence status,LTA
4770,What is in FBO items,MINDEF
4771,Should I have to deduct withholding tax for the salary paid in India,IRAS IIT
4772,how to register my course for skills future,SSG
4773,Whats the expected number of Singaporean children registering for P1 in 2020,MOE
4774,hi there how can i change the company address inmy bizfile,ACRA
4775,Why no more RT in ite simei,MINDEF
4776,Can u help to check my application status of my security licence,SPF
4777,I have submitted DSA but I forgot one item What can I do,MOE
4778,I must complete 8 sessions of RT first before I can start booking for ippt is it,MINDEF
4779,Towards JB at Tuas how is the situation,LTA
4780,what is progressive residential rates,IRAS IIT
4781,Do Macau Passport Holders need a visa,ICA
4782,applying visa for family to visit singapore,ICA
4783,What is the location of Taxpayer service centre,IRAS IIT
4784,Hi I along with 3 friends want to visit Singapore for 2 days What are the visa requirement for this We are Indian nationals and will be visiting Singapore during our,ICA
4785,Errors occured at NHIIS32P,IRAS IIT
4786,How can I print Form 5A,ICA
4787,Hi can i check with you how to find out if the vendor is having haccp certification,AVA
4788,where can i download ep152,ICA
4789,Can frest pork and frozen pork put together and sell them in the market,AVA
4790,hi who should i look for the license issue i would like to ask about my company license as we would like to bring in a new species not sure if it is allow thank you,AVA
4791,Moe scholarships,MOE
4792,input tax for work injury insurance,IRAS GST
4793,VIEW AGM FILING,ACRA
4794,How access to tax portal,IRAS IIT
4795,What is my makeuppay,MINDEF
4796,When to claim relief,IRAS IIT
4797,No I need to know what email add I can send additional info too,IRAS IIT
4798,I am a tourist not a Singaporean How then could I file a police report,SPF
4799,How much e mart credits,MINDEF
4800,If my parents have not acknowledged,MINDEF
4801,I will like to check if i have valid PDL,SPF
4802,Whats is acra contact number,ACRA
4803,objection to tax bill,IRAS IIT
4804,How can I access my tax documents if I no longer reside in Singapore I cannot log in to my old SingPass account,IRAS IIT
4805,what are the documents that my school has to submit to be a Non-WSQ ATO,SSG
4806,oppo phone can be axcept for singpass mobile,IRAS IIT
4807,how to Transfer Parenthood Tax Rebate PTR to my wife,IRAS IIT
4808,how much is my child reducer,MOE
4809,How to online book for a fingerprints,SPF
4810,penalty for breaking bond higher than training costs subject to gst,IRAS GST
4811,Can my daughters use my registered PMD,LTA
4812,my wifes PR application was approved on May 30 But we are in holiday in overseas during May 28July 14 Is it now too late for making an appointment in ICA,ICA
4813,Hi i just change my new passport how to update my re entry permit,ICA
4814,How do i check for my emart credit balance,MINDEF
4815,what kind of address,ACRA
4816,My passport expires in August 2020 Will I be able to apply for students pass under Singapore Management University which will be valid for 4 years,ICA
4817,hi may i know if foreigner could apply the APEC business travel card through company,ICA
4818,cerificate of good standing,ACRA
4819,which i didnt download my receipt can i know how to check the progression now,ACRA
4820,when i register a company how much i have to pay,ACRA
4821,Can I speak to a customer service personnel,IRAS IIT
4822,how to print a log card,LTA
4823,But there is a condition for the GIRO that is my motor insurance has to cover from 11072019 to 10012020,LTA
4824,ssic for solar owner plant,ACRA
4825,need contact email,ICA
4826,How to pay employee tax,IRAS IIT
4827,vehilce owner transfer,LTA
4828,Hi Do I need to file the income for 2019 as well,IRAS IIT
4829,How do i know if i am a non resident,IRAS IIT
4830,Can work permit holder eligible for WSQ course,SSG
4831,How to change Off peak car to Normal car,LTA
4832,can i transfer my sole proprietorship to another person on bizfile,ACRA
4833,jail time for tax fraud,IRAS IIT
4834,how can i apply to NEA for the certificate,SSG
4835,if monthly income is SG13500 for in Singapore how much tax is to paid,IRAS IIT
4836,How about school register phase 2ccan tell me the date,MOE
4837,where do I view my Further reporting order,MINDEF
4838,How can I renew my soleentrepreneurship,ACRA
4839,i attended a tourist guide preview yesterday and was mentioned to qualify for workfare training support course fee funding. can i have more info on this?,SSG
4840,How to apply for a security officer license,SPF
4841,Hello my infant passport photo is taken when he is 1 month Now he is 19months and has slight appearance difference from the passport photo Will it pass the immigration,ICA
4842,what is the travellers allowance,AVA
4843,Can I bring cooked food to singapore,AVA
4844,registration fee wavier till,LTA
4845,When is pop for june,MINDEF
4846,Hi Jamie i want to check if a person is no longer working in Singapore what is the procedure to get the income tax clearance statement from previous employer,IRAS IIT
4847,i need to go to tax portal,IRAS IIT
4848,hOW LONG DOES IT TAKE FOR A REPLACEMENT OF A STP,ICA
4849,HI i has forgotten to transfer my giro arrangement could you please help to check what is the outstanding amount owning to SFA thanks,AVA
4850,Do I need to register my food handler with SFA,AVA
4851,where to report a company dont update the new address,ACRA
4852,Hello Can you tell me please if I need a VISA or not how to get the,ICA
4853,Tax treatment of work injury compensation insurance,IRAS IIT
4854,If we engage expat from Belgium for consultant service in Singapore what is the tax rate on his invoice to us,IRAS IIT
4855,how to apply to be dormant,ACRA
4856,ask a second name to my vehicle,LTA
4857,how do obtain proof of address for long term visit pass holder,ICA
4858,How much tax is imposed for gains from sale of commercial property,IRAS IIT
4859,Hello Due to the safety timeout I have my ippt cancelled and am unable to clear it before my birthday Does it mean that i will automatically be put into RT,MINDEF
4860,I bake cakes at home and sell them through online Do I need to declare such income,AVA
4861,Can you please guide me how to renew my LTVP,ICA
4862,Where to find remuneration,IRAS IIT
4863,Will my driving license being suspended due to the demerit points more than 12 points,SPF
4864,I applied for social pass yesterday by e services but havent get any reply yet,ICA
4865,I am enquiring regarding licensing requirements for the supply of beer,SPF
4866,effect of gst under FRS116,IRAS GST
4867,I missed to indicate interest P1 registration under onoSC,MOE
4868,Must I get the written approval from IRAS,IRAS GST
4869,hi just want to confirm if the annual gross income of the employee or a parttimer is SGD 2200000 or less in a year are they exempted for filing IR8A Thank you,IRAS IIT
4870,How many times can I submit a fresh new application for company name reservation,ACRA
4871,how to extend stay at ica hq,ICA
4872,I would like to renew my business registration at Acra and I fo not want to fo it online,ACRA
4873,i want to apply pr singapore,ICA
4874,thought no inspection is needed,LTA
4875,How to update my company address,ACRA
4876,Where can I get a Giro form copy from SFA,AVA
4877,can you help me check for my wts letter?,SSG
4878,I have trouble to log into mytax by pin,IRAS IIT
4879,We already applied under application number R1910003849,AVA
4880,How do I appeal for parking offence,LTA
4881,may i know why my notice of assessment for year 2019 havent issue so far,IRAS IIT
4882,how to check a gst return status,IRAS GST
4883,how do i check how many demerit point i have accumulated,SPF
4884,My family will be travelling to sg from malaysia this sunday May i know where to get the disembarkation card to fill in They travel by car entering sg,ICA
4885,Hi any hotline number that I can call for regrading my reservist,MINDEF
4886,Hi May i check if our NEA Licence address is wrong how can we ammend it,AVA
4887,Where to find medical screening questionnaire,MINDEF
4888,Is paid up capital amount include preference amount,ACRA
4889,I would like to print active staff list under massage establishment Please direct me to updated link,SPF
4890,Can I extend the validity of my PR IPA,ICA
4891,skill future credit can transfer to ppl,SSG
4892,Hi I forgot about my ns pre medical was today I missed my appointment What is the next course of action,MINDEF
4893,The report indicated wrong victim how can I amend after submitting,SPF
4894,Letter from ICA Mandatory reporting of change of address The person concerned has passed away many years ago what do we do,ICA
4895,do i pay for a course and claim skillsfuture credit later,SSG
